COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,Tournoi régional jeunes,2019-05-05,2019-05-05,Compagnie d'arc d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Championnats Départementaux 25 et 50m,2019-05-04,2019-05-05,Tir Sportif d'Antibes,Stand de tir des 3 moulins ,,
Antibes,21060004500012,Tournoi CASA,2019-05-08,2019-05-08,OAJLP Basket,Stade Foch,,
Antibes,21060004500012,43ème Tournoi de la JSJLP catégorie U9 ,2019-05-08,2019-05-08,Jeunesse Sportive de Juan-les-Pins,Stade Gilbert Auvergne,,
Antibes,21060004500012,Prix Roger Borriglion,2019-05-08,2019-05-08,AS Fontonne Boule,Clos de la Fontonne,,
Antibes,21060004500012,3ème Tournoi International U15 de Basket,2019-05-10,2019-05-12,OAJLP Basket,Stade Foch,,
Antibes,21060004500012,57ème Challenge DENAPE,2019-05-11,2019-05-12,Compagnie d'arc d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Stage de YOGA,2019-05-12,2019-05-12,Institut Français de Yoga Provence Alpes Côte d'Azur,Salles Polyvalentes des Croûtons,,
Antibes,21060004500012,54ème Rallye d'Antibes ,2019-05-16,2019-05-19,Association Sportive Automobile;Rallye Antibes Association,Antibes ,,
Antibes,21060004500012,Concours Inter-Ports,2019-05-19,2019-05-19,Boule Amicale du Cap d'Antibes,Clos Jean Bunoz,,
Antibes,21060004500012,Concours de pétanque,2019-05-19,2019-05-19,Rugby Club Sophia Antipolis,Stade Gilbert Auvergne,,
Antibes,21060004500012,Raid Jaune UNSS,2019-05-22,2019-05-22,UNSS Nice,Plage du Ponteil,,
Antibes,21060004500012,5ème Challenge Paul Cayatte,2019-05-23,2019-05-23,Amicale des Sapeurs-Pompiers Antibes,Plage de la Salis,,
Antibes,21060004500012,43ème Tournoi de la JSJLP catégories U10 à U13 ,2019-05-25,2019-05-26,Jeunesse Sportive de Juan-les-Pins,Stade Gilbert Auvergne,,
Antibes,21060004500012,CDF Universitaire de Match Racing,2019-05-25,2019-05-26,Pôle Voile Match Racing / Creps,Antibes ,,
Antibes,21060004500012,Tournoi Inter de Tennis Fauteuil,2019-05-28,2019-06-01,Handisport Antibes Méditerranée,Tennis Jules Grec,,
Antibes,21060004500012,Tournoi International des Vétérans,2019-05-30,2019-06-01,AS Fontonne Football,Stade Docteur Léger,,
Antibes,21060004500012,Tournoi TMC Jeunes,2019-05-30,2019-06-01,ASSA Tennis,Tennis des Semboules,,
Antibes,21060004500012,Tournoi de Para tennis 2019,2019-05-30,2019-06-01,Handisport Antibes Méditerranée,Tennis Jules Grec,,
