animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
championnats départementaux 25 et 50m,2019-05-04,2019-05-05,tir sportif d'antibes,stand de tir des 3 moulins,2019,5,4,2019,5,5,2019-5,1
tournoi régional jeunes,2019-05-05,2019-05-05,compagnie d'arc d'antibes,zi des 3 moulins,2019,5,5,2019,5,5,2019-5,0
tournoi casa,2019-05-08,2019-05-08,oajlp basket,stade foch,2019,5,8,2019,5,8,2019-5,0
43ème tournoi de la jsjlp catégorie u9,2019-05-08,2019-05-08,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2019,5,8,2019,5,8,2019-5,0
prix roger borriglion,2019-05-08,2019-05-08,as fontonne boule,clos de la fontonne,2019,5,8,2019,5,8,2019-5,0
3ème tournoi international u15 de basket,2019-05-10,2019-05-12,oajlp basket,stade foch,2019,5,10,2019,5,12,2019-5,2
57ème challenge denape,2019-05-11,2019-05-12,compagnie d'arc d'antibes,zi des 3 moulins,2019,5,11,2019,5,12,2019-5,1
stage de yoga,2019-05-12,2019-05-12,institut français de yoga provence alpes côte d'azur,salles polyvalentes des croûtons,2019,5,12,2019,5,12,2019-5,0
54ème rallye d'antibes,2019-05-16,2019-05-19,association sportive automobile;rallye antibes association,antibes,2019,5,16,2019,5,19,2019-5,3
concours inter-ports,2019-05-19,2019-05-19,boule amicale du cap d'antibes,clos jean bunoz,2019,5,19,2019,5,19,2019-5,0
concours de pétanque,2019-05-19,2019-05-19,rugby club sophia antipolis,stade gilbert auvergne,2019,5,19,2019,5,19,2019-5,0
raid jaune unss,2019-05-22,2019-05-22,unss nice,plage du ponteil,2019,5,22,2019,5,22,2019-5,0
5ème challenge paul cayatte,2019-05-23,2019-05-23,amicale des sapeurs-pompiers antibes,plage de la salis,2019,5,23,2019,5,23,2019-5,0
43ème tournoi de la jsjlp catégories u10 à u13,2019-05-25,2019-05-26,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2019,5,25,2019,5,26,2019-5,1
cdf universitaire de match racing,2019-05-25,2019-05-26,pôle voile match racing / creps,antibes,2019,5,25,2019,5,26,2019-5,1
tournoi inter de tennis fauteuil,2019-05-28,2019-06-01,handisport antibes méditerranée,tennis jules grec,2019,5,28,2019,6,1,2019-5,4
tournoi international des vétérans,2019-05-30,2019-06-01,as fontonne football,stade docteur léger,2019,5,30,2019,6,1,2019-5,2
tournoi tmc jeunes,2019-05-30,2019-06-01,asso tennis,stade des semboules,2019,5,30,2019,6,1,2019-5,2
tournoi de para tennis 2019,2019-05-30,2019-06-01,handisport antibes méditerranée,tennis jules grec,2019,5,30,2019,6,1,2019-5,2
2ème prix bohème assurances,2019-06-01,2019-06-01,amicale bouliste du châtaignier,clos du châtaignier,2019,6,1,2019,6,1,2019-6,0
finale départementale éveil athlé,2019-06-01,2019-06-01,eraa,stade du fort carré,2019,6,1,2019,6,1,2019-6,0
trophée souvenir céline palmerini,2019-06-02,2019-06-02,amicale bouliste du châtaignier,clos du châtaignier,2019,6,2,2019,6,2,2019-6,0
3ème gp d'antibes/gréolières,2019-06-02,2019-06-02,olympique cyclo club d'antibes,gréolières,2019,6,2,2019,6,2,2019-6,0
7ème prix assainissement services,2019-06-03,2019-06-03,amicale bouliste du châtaignier,clos du châtaignier,2019,6,3,2019,6,3,2019-6,0
14ème souvenir m. pisano et a. palmerini,2019-06-04,2019-06-04,amicale bouliste du châtaignier,clos du châtaignier,2019,6,4,2019,6,4,2019-6,0
15ème prix eric pauget,2019-06-05,2019-06-05,amicale bouliste du châtaignier,clos du châtaignier,2019,6,5,2019,6,5,2019-6,0
championnats régionaux de tir,2019-06-07,2019-06-09,tir sportif d'antibes,stand de tir des 3 moulins,2019,6,7,2019,6,9,2019-6,2
25ème tournoi nicolas cagnasso,2019-06-08,2019-06-08,amadeus,stade du fort carré,2019,6,8,2019,6,8,2019-6,0
champ région 25m et 50m,2019-06-08,2019-06-09,tir sportif d'antibes,zi des 3 moulins,2019,6,8,2019,6,9,2019-6,1
tournoi daniel charles,2019-06-08,2019-06-09,oajlp basket,stade foch,2019,6,8,2019,6,9,2019-6,1
tournoi international jeunes,2019-06-08,2019-06-10,as fontonne football,stade docteur léger,2019,6,8,2019,6,10,2019-6,2
répétition gala de danse,2019-06-09,2019-06-09,pro danse,salle saint claude,2019,6,9,2019,6,9,2019-6,0
open water swim 2019,2019-06-09,2019-06-09,maxiplouf,esplanade de la gravette,2019,6,9,2019,6,9,2019-6,0
tournoi 6ème rugby,2019-06-11,2019-06-11,collège roustan,terrain synthétique du fort carré,2019,6,11,2019,6,11,2019-6,0
tournoi 5ème ultimate,2019-06-12,2019-06-12,collège roustan,plateau foch,2019,6,12,2019,6,12,2019-6,0
nocturne été,2019-06-14,2019-08-30,as fontonne boule,clos borriglion,2019,6,14,2019,8,30,2019-6,77
ista cup,2019-06-15,2019-06-15,ista cis,stade du fort carré,2019,6,15,2019,6,15,2019-6,0
tournoi jeunes,2019-06-15,2019-06-15,oajlp volley-ball,gymnase bertone,2019,6,15,2019,6,15,2019-6,0
championnat national de basket fcd,2019-06-15,2019-06-15,csga,stade foch,2019,6,15,2019,6,15,2019-6,0
répétition gala de danse,2019-06-16,2019-06-16,pro danse,salle saint claude,2019,6,16,2019,6,16,2019-6,0
