coll_nom,coll_siret,jour,annee 2020,annee 2021,annee 2022,annee 2023,annee 2024
Antibes,21060004500012,16-mai,,,,18.3,19.0
Antibes,21060004500012,17-mai,,,,,
Antibes,21060004500012,18-mai,,16.2,20.5,,
Antibes,21060004500012,19-mai,,,,,
Antibes,21060004500012,20-mai,,,,,
Antibes,21060004500012,21-mai,,,,,
Antibes,21060004500012,22-mai,,,,,19.6
Antibes,21060004500012,23-mai,,,,,
Antibes,21060004500012,24-mai,,,21,19.1,
Antibes,21060004500012,25-mai,,,,,
Antibes,21060004500012,26-mai,,16.5,,,
Antibes,21060004500012,27-mai,,,,,
Antibes,21060004500012,28-mai,,,,,
Antibes,21060004500012,29-mai,,,,,21.5
Antibes,21060004500012,30-mai,,,,,
Antibes,21060004500012,31-mai,,18.8,,20.3,
Antibes,21060004500012,1-juin,,18.7,23.3,20.8,
Antibes,21060004500012,2-juin,20.3,19,23.7,21.3,
Antibes,21060004500012,3-juin,20.5,18.6,,,22.5
Antibes,21060004500012,4-juin,17.9,,,,21.7
Antibes,21060004500012,5-juin,19.8,,,21.4,22.5
Antibes,21060004500012,6-juin,,,,21.2,23.9
Antibes,21060004500012,7-juin,,22,23.7,20.6,22.6
Antibes,21060004500012,8-juin,20.2,22.5,23.3,21.4,
Antibes,21060004500012,9-juin,20.6,22.7,23.2,21.4,
Antibes,21060004500012,10-juin,20.5,21.7,22.6,,23.1
Antibes,21060004500012,11-juin,20.3,23.5,,,23
Antibes,21060004500012,12-juin,20.6,,,22.7,22.8
Antibes,21060004500012,13-juin,,,23.9,23.1,23.4
Antibes,21060004500012,14-juin,,23.5,24.6,22.9,23.5
Antibes,21060004500012,15-juin,20.6,23.8,25.2,22.9,
Antibes,21060004500012,16-juin,21.8,,25.8,22.4,
Antibes,21060004500012,17-juin,21.6,23.7,25.8,,23.1
Antibes,21060004500012,18-juin,22.2,23.6,,,23.1
Antibes,21060004500012,19-juin,21.8,,,22,22.5
Antibes,21060004500012,20-juin,,,25.6,23.4,22.2
Antibes,21060004500012,21-juin,,,25.9,22.9,23
Antibes,21060004500012,22-juin,22.9,24,25.2,22.8,
Antibes,21060004500012,23-juin,23,24.1,25.1,23,
Antibes,21060004500012,24-juin,23,24.4,25,,22.9
Antibes,21060004500012,25-juin,23.1,24.4,,,22.8
Antibes,21060004500012,26-juin,23.8,,,24.7,24.3
Antibes,21060004500012,27-juin,,,23.6,24.9,
Antibes,21060004500012,28-juin,,,24.3,25.3,23.4
Antibes,21060004500012,29-juin,,23.6,23.3,25.3,
Antibes,21060004500012,30-juin,23.6,22.3,24.1,25.2,
Antibes,21060004500012,1-juil.,24.4,21,24.5,,24.4
Antibes,21060004500012,2-juil.,24.2,20.9,,,
Antibes,21060004500012,3-juil.,24.9,,,25.7,24.3
Antibes,21060004500012,4-juil.,,,25.9,25.9,
Antibes,21060004500012,5-juil.,,,26.8,26,22.3
Antibes,21060004500012,6-juil.,25.5,24,26.4,26.3,
Antibes,21060004500012,7-juil.,26.1,,27.5,25.2,
Antibes,21060004500012,8-juil.,25.6,25.4,27.4,,26.5
Antibes,21060004500012,9-juil.,24.3,,,,
Antibes,21060004500012,10-juil.,26,,,27.2,26.3
Antibes,21060004500012,11-juil.,,,26.5,27.3,
Antibes,21060004500012,12-juil.,,25,27.6,26.9,
Antibes,21060004500012,13-juil.,,23.8,,27.3,
Antibes,21060004500012,14-juil.,,,,,
Antibes,21060004500012,15-juil.,25.5,23.2,,,27.7
Antibes,21060004500012,16-juil.,25.3,23.5,26.7,,
Antibes,21060004500012,17-juil.,25.3,,,28.3,27.8
Antibes,21060004500012,18-juil.,,,28.1,28.2,
Antibes,21060004500012,19-juil.,,24.5,28,28,25.5
Antibes,21060004500012,20-juil.,25.8,24.9,28.1,28.3,
Antibes,21060004500012,21-juil.,25.3,24.5,28.8,28,
Antibes,21060004500012,22-juil.,26.1,25.8,27.8,,27.6
Antibes,21060004500012,23-juil.,25.2,26.1,,,
Antibes,21060004500012,24-juil.,26,,,26.9,27.9
Antibes,21060004500012,25-juil.,,,28.8,26.2,
Antibes,21060004500012,26-juil.,,25.7,29.1,24.6,
